,unit_type,My rank is: Response,Rank,Year,A grievance/complaint against my unit chain-of-command will be handled in a fair and timely manner by my chain-of-command,Airmen in my unit consider the environmental impact of their actions,"During my performance feedback session, my supervisor provided me with feedback that enabled me to improve my performance prior to my annual performance review",I am allocated the correct amount of training hours each month to operate safely,I am encouraged to be innovative even if that means I might make a mistake,"I am informed of critical information (e.g. work schedules, policies, uniform of the day, etc.) in a reasonable amount of time",I feel I am a valued member of my unit,I feel adequately prepared to deploy and execute my assigned AEF duties,I have been adequately trained for the job I am expected to do,"I have easy and timely access to the written guidance I need to do my job (e.g., AFIs, MAJCOM Supplements, TOs, Self-Assessment Communicators, etc)",I have enough time to accomplish my daily workload during my normal duty hours,"I have the equipment (tools, spare parts, information technology, safety gear, etc.) I need to do my job the right way",I have the opportunity to develop other professional skills,I have the opportunity to develop/improve my AFSC/Special Duty Identifier-related skills,"I trust my leadership chain, from my supervisor to my Wing Commander (or FOA/DRU Commander)",I would be able to complete my assigned tasks if my work center lost communications capability,Individuals in my unit are comfortable approaching supervisors about personal problems,Members of my unit take good care of the equipment they use,My commander is concerned about my personal welfare,My deployment schedule is predictable enough for me to plan and participate in off-duty activities,My duty schedule is predictable enough for me to plan and participate in off-duty activities,My job is designed so I know when I have performed well,My leadership gets the right information about problems in my unit so he/she can fix them,"My position/job description (for both military and civilians) is current and accurately describes my daily functions, tasks and responsibilities",My supervisor corrects poor performance in my work group,My supervisor is concerned with my professional development,My unit accurately accounts for our equipment,My unit challenges inefficient ways of doing business,My unit closely monitors and tracks job qualifications,My unit has a sufficient number of experienced personnel to accomplish our primary mission,My unit has a sufficient number of personnel to accomplish our primary mission,My unit has an effective long-range scheduling process,My unit has processes in place to identify and share lessons learned,My unit has the sufficient funding to accomplish all of our missions,My unit is serious about preventing sexual assault and sexual harassment,My unit leadership chain applies disciplinary standards in a fair and consistent manner,My unit leadership chain consistently reinforces the USAF Core Values and their application to daily operations,My unit provides me sufficient time during working hours to participate in a physical fitness program,My unit spends end-of-year fallout money wisely,My unit takes suicide prevention seriously,My units communication processes prevent wasted effort and/or resources,My units communication system and information flow are effective up and down the chain of command,My units daily activities improve our ability to execute our most demanding mission,My units leaders reward individual performance fairly,My units strategic plan improves unit performance,My units strategic plan translates to what I do on a daily basis,My work center is adequately prepared to execute required operations during the most likely local contingencies,My work facilities enable effective mission accomplishment,Y,Performing my primary AFSC duties is NOT significantly impacted by additional duties,Performing my primary AFSC duties is NOT significantly impacted by ancillary training,Personnel in my unit do not feel pressured to cut corners to accomplish the mission,"Personnel in my unit have the time to become proficient in, then master, their primary AFSC duties","Personnel in my work section treat me with dignity, trust and respect",Standards in my unit are enforced,Teamwork at all levels is prevalent throughout my unit,The actions and decisions of my supervisor indicate he/she values my time,The mentoring I have received in this unit has been helpful in my development,"The performance evaluations (EPR, OPR, civilian performance appraisal) Ive received from my current unit have been fair","The policies and decisions of my AFSC community (e.g., HAF or MAJCOM CE, Comm, SF, Personnel, Ops, etc.) indicate my time is valued",The policies and decisions of other AFSC communities indicate my time is valued,The tasks I perform at work provide me with a sense of accomplishment,The written guidance I use helps me prioritize my work,location,wing,nma_category,Leadership,Strategic Plan,Impact of Additional Duties,Equipment,Duty Schedule,Supervisor,Adequate Training,Sufficient Personnel,Sexual Harrassment / Suicide,clusters
1950,Operator,E4-E6,2,2017,0,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,1,-1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,3,1,-1,0,1,1,1,-1,1,1,0,1,1,-1,1,IAABT,309ABD,DCA,3.7794312610239706,0.0,0.021812607647241578,1.116074006514614,0.5745763418043199,1.6781683741306237,-0.5617585398811763,0.0,1.477475948089832,2
1951,Operator,E7-E9,3,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,0,1,1,1,1,IAABT,309ABD,DCA,9.607483959575394,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,1.6781683741306237,0.5617585398811763,1.3220361447556717,1.477475948089832,0
1952,Operator,E4-E6,2,2017,0,-2,1,-1,1,-2,-1,0,-1,-1,-2,-2,-1,1,-1,-2,-1,-2,-2,0,-2,-2,-2,-1,1,1,-2,-1,1,-2,-2,-2,-2,-2,1,-1,-2,-2,0,1,-1,-2,-2,-1,0,0,-1,-1,3,-2,-1,-1,-2,1,-1,-1,1,0,-1,-2,1,-2,-1,IAABT,309ABD,DCA,-8.68136789442299,0.0,-1.9973946475649722,-1.7276315059667011,-1.1491526836086399,1.6781683741306237,-0.5617585398811763,-2.6440722895113433,1.477475948089832,1
1953,Operator,E1-E3,1,2017,-2,-1,1,1,-2,2,-1,0,1,2,-1,1,1,1,-1,-2,0,1,1,0,-1,-2,-1,-1,-1,2,0,0,0,-1,2,0,-2,1,2,-2,-2,-2,0,2,0,1,-1,-2,0,0,1,1,2,-2,-1,-1,-2,-1,-1,-1,1,1,1,1,-1,-1,1,IAABT,309ABD,DCA,-8.476438836680007,0.0,-1.9973946475649722,1.6205905135771403,-0.5745763418043199,2.2681931435634133,0.5617585398811763,0.7480364802517027,2.954951896179664,4
1954,Maintenance,E4-E6,2,2017,0,2,2,2,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,2,1,0,2,1,2,2,2,0,2,2,2,1,0,2,0,2,2,0,2,1,2,1,2,1,1,2,2,5,-2,-1,0,2,1,2,1,2,2,0,1,2,-2,1,IAABT,309ABD,DCA,11.96603525169774,1.3396559625814328,-1.9973946475649722,1.7276315059667011,1.1491526836086399,3.3563367482612474,0.5617585398811763,2.6440722895113433,2.954951896179664,3
1955,Maintenance,E4-E6,2,2017,1,1,0,2,1,1,2,1,2,1,1,1,1,1,1,-1,2,1,1,0,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,0,1,2,0,2,1,1,1,1,1,1,2,1,6,-1,1,1,1,1,1,1,1,1,0,1,1,1,-1,IAABT,309ABD,DCA,10.129393364824082,1.3396559625814328,-0.021812607647241578,1.116074006514614,1.1491526836086399,1.1696167291021944,1.1235170797623526,1.3220361447556717,2.954951896179664,3
1956,Operator,E1-E3,1,2017,1,1,0,1,-1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,6,1,1,1,1,1,1,1,1,1,0,1,1,1,1,IAABT,309ABD,DCA,5.983749895416668,0.0,1.3243255624942343,1.116074006514614,0.5745763418043199,1.1696167291021944,0.5617585398811763,1.3220361447556717,0.7677444649835238,0
1957,Operator,E4-E6,2,2017,1,1,0,1,1,1,1,0,-1,1,-2,-1,-2,-2,1,-2,1,1,1,0,-1,1,0,1,1,1,1,-1,0,-1,1,1,-1,-1,2,1,1,-2,0,1,1,1,1,1,0,0,-1,1,7,-1,-1,1,-1,1,1,1,1,0,-2,-1,1,1,1,IAABT,309ABD,DCA,8.53062661967277,0.0,-1.3243255624942343,1.116074006514614,-0.5745763418043199,1.1696167291021944,-0.5617585398811763,0.058012271915911184,2.2452204130733557,2
1958,Operator,E4-E6,2,2017,2,1,1,2,1,1,1,1,1,2,-1,1,-1,1,-1,-2,1,2,2,2,1,-1,1,1,2,1,1,1,1,-1,1,-1,1,-1,2,1,1,-1,1,2,1,-1,-1,1,1,1,2,1,5,-2,1,1,1,1,2,1,1,0,0,-1,-2,1,2,IAABT,309ABD,DCA,8.450103337664864,1.3396559625814328,-0.6948816927179795,2.232148013029228,0.5745763418043199,1.6781683741306237,0.5617585398811763,0.058012271915911184,2.954951896179664,3
1959,Operator,E1-E3,1,2017,1,2,2,1,2,2,-1,0,1,2,1,-1,2,1,2,1,2,2,2,0,1,-1,1,2,2,2,2,2,2,-2,-1,1,1,0,-1,0,2,-2,0,-1,-2,-1,1,1,0,0,1,1,3,1,1,-1,1,-1,1,-1,2,1,2,1,1,1,1,IAABT,309ABD,DCA,5.69872819733277,0.0,1.3243255624942343,2.232148013029228,0.5745763418043199,3.3563367482612474,0.5617585398811763,-1.954048081175552,-1.477475948089832,0
1960,Maintenance,O1-O3,4,2017,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,0,1,1,1,1,IAABT,309ABD,DCA,8.899799978371995,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,1.1696167291021944,0.5617585398811763,1.3220361447556717,1.477475948089832,0
1961,Security,E1-E3,1,2017,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,IAABT,309ABD,DCA,19.214967919150787,2.6793119251628656,2.6486511249884686,2.232148013029228,1.1491526836086399,3.3563367482612474,1.1235170797623526,2.6440722895113433,2.954951896179664,3
1962,Security,E7-E9,3,2017,2,2,2,2,2,1,1,0,1,2,1,1,1,2,2,1,2,2,2,0,1,1,2,2,2,2,2,2,2,1,1,2,2,-1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,8,1,1,2,1,2,2,2,2,2,2,1,1,1,2,IAABT,309ABD,DCA,17.90262138253863,1.3396559625814328,1.3243255624942343,2.232148013029228,0.5745763418043199,3.3563367482612474,0.5617585398811763,1.3220361447556717,2.954951896179664,3
1963,Operator,O4-O6,5,2017,1,1,1,1,1,1,1,1,1,-1,-2,1,-1,-1,2,-1,1,1,1,0,1,-1,1,1,2,1,1,1,1,1,1,1,-1,1,2,1,1,1,1,2,1,1,-1,1,1,1,2,1,7,-2,1,2,-1,2,1,2,1,0,1,1,1,1,1,IAABT,309ABD,DCA,10.913100818740773,1.3396559625814328,-0.6948816927179795,0.10704099238956089,0.5745763418043199,1.6781683741306237,0.5617585398811763,1.3220361447556717,2.954951896179664,3
1964,Operator,E4-E6,2,2017,1,2,1,1,-2,1,1,2,-1,1,-2,1,-1,1,1,-2,2,2,2,0,1,-1,1,1,-1,1,1,1,2,-2,-1,1,-2,-1,2,-1,2,-2,2,2,-2,1,0,-1,1,1,2,-1,3,-2,1,-1,1,2,1,1,-2,-1,1,1,1,-2,-2,IAABT,309ABD,DCA,5.020055093252111,1.3396559625814328,-0.6948816927179795,1.7276315059667011,0.5745763418043199,-0.06060750487759092,-0.5617585398811763,-1.954048081175552,2.954951896179664,4
1965,Operator,E4-E6,2,2017,1,1,1,1,-1,-1,1,0,1,1,1,1,1,1,1,1,-1,1,1,0,1,1,-1,1,1,2,-1,1,1,1,-2,1,1,1,2,1,1,-1,1,2,1,-1,1,-1,1,1,1,1,5,-1,1,1,1,1,1,-1,2,2,1,1,1,1,1,IAABT,309ABD,DCA,3.1261069148770195,1.3396559625814328,-0.021812607647241578,1.116074006514614,0.5745763418043199,2.847785103232818,0.5617585398811763,-0.7480364802517027,2.954951896179664,0
1966,Operator,E4-E6,2,2017,-2,1,-2,1,1,1,-2,0,-1,1,1,1,2,-1,-2,-2,0,2,1,0,1,-1,0,2,1,-2,0,1,-1,-2,-1,0,1,0,2,0,-1,1,-2,2,0,1,1,0,0,0,1,2,1,1,1,0,0,1,-1,1,1,-1,0,1,1,-2,1,IAABT,309ABD,DCA,-2.913866049899758,0.0,1.3243255624942343,1.7276315059667011,0.5745763418043199,-1.6175608692530328,-0.5617585398811763,-1.954048081175552,2.954951896179664,4
1967,Security,E1-E3,1,2017,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,0,1,2,1,1,1,2,2,1,2,1,-1,1,1,1,2,2,1,-2,1,2,1,1,2,2,1,1,1,1,3,1,1,1,2,1,1,1,2,2,0,1,1,1,2,IAABT,309ABD,DCA,12.771865149679154,1.3396559625814328,1.3243255624942343,2.232148013029228,0.5745763418043199,2.847785103232818,1.1235170797623526,-0.058012271915911184,2.954951896179664,3
1968,Operator,E4-E6,2,2017,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,9,2,2,2,2,2,2,2,1,2,1,2,2,2,2,IAABT,309ABD,DCA,18.12575741662267,2.0116107142737327,2.6486511249884686,2.232148013029228,0.5745763418043199,2.776744788591843,1.1235170797623526,1.954048081175552,2.954951896179664,3
1969,Operator,E4-E6,2,2017,0,1,0,1,1,1,1,1,1,1,-2,1,1,-1,1,1,1,1,1,1,1,-1,0,-1,1,1,0,0,0,-1,-2,0,-1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,10,-2,1,1,-1,2,1,1,1,0,0,1,1,-1,1,IAABT,309ABD,DCA,8.439200083513462,0.0,-0.6948816927179795,1.116074006514614,0.5745763418043199,1.1696167291021944,0.5617585398811763,-2.012060353091463,0.0,0
1970,Operator,E7-E9,3,2017,2,1,1,1,2,1,1,0,1,1,1,2,-1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,0,1,1,2,2,1,1,1,1,1,7,1,1,2,1,1,1,1,1,1,0,1,1,1,1,IAABT,309ABD,DCA,11.322163829875802,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,1.6781683741306237,0.5617585398811763,1.3220361447556717,2.2452204130733557,0
1971,Operator,E4-E6,2,2017,1,-1,1,1,1,2,2,2,2,2,1,2,-1,-1,2,-2,2,1,1,-1,1,2,0,1,2,2,2,1,2,-1,-2,0,2,1,2,1,1,-2,2,2,-2,-1,1,2,1,1,1,2,5,-2,1,1,1,1,2,2,1,1,0,1,1,1,2,IAABT,309ABD,DCA,10.174846269843476,1.3396559625814328,-0.6948816927179795,1.6205905135771403,0.5745763418043199,2.2681931435634133,1.1235170797623526,-2.012060353091463,2.954951896179664,3
1972,Operator,O4-O6,5,2015,2,1,2,1,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1,-1,1,1,-1,2,2,2,1,1,2,1,1,2,2,1,1,2,2,10,1,1,1,1,2,1,1,2,2,2,2,1,2,1,JAAM,4059ARD,Tanker,15.793779941205909,1.3396559625814328,1.3243255624942343,2.232148013029228,1.1491526836086399,3.3563367482612474,1.1235170797623526,-0.058012271915911184,2.954951896179664,3
1973,Operator,E4-E6,2,2015,0,1,0,1,1,1,1,-1,1,2,-1,-1,1,1,2,-1,2,1,2,2,2,1,-1,1,1,1,0,0,1,1,0,1,0,0,2,1,1,-1,0,2,-1,-1,0,1,0,0,1,1,7,-1,-1,1,1,2,1,1,1,0,0,1,1,1,1,JAAM,4059ARD,Tanker,7.5669262519802505,0.0,-1.3243255624942343,1.6205905135771403,1.1491526836086399,1.1696167291021944,0.5617585398811763,0.6320119364198803,2.954951896179664,3
1974,Operator,O4-O6,5,2015,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,-1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,-1,2,2,2,-1,1,2,2,2,1,2,1,1,1,1,9,1,1,2,2,2,2,2,2,2,2,1,1,2,2,JAAM,4059ARD,Tanker,19.214967919150787,1.3396559625814328,1.3243255624942343,2.232148013029228,0.5745763418043199,3.3563367482612474,0.5617585398811763,1.3220361447556717,2.954951896179664,0
1975,Operator,O4-O6,5,2015,2,-1,2,-1,1,1,2,1,1,1,-1,1,1,1,2,-2,0,1,2,1,1,1,1,2,1,2,1,1,0,1,1,0,0,-1,2,1,2,-1,1,2,1,1,1,2,1,1,1,-1,6,1,1,1,0,2,1,-1,2,2,2,1,1,2,1,JAAM,4059ARD,Tanker,12.731029411933804,1.3396559625814328,1.3243255624942343,1.116074006514614,0.5745763418043199,3.3563367482612474,0.5617585398811763,1.3220361447556717,2.954951896179664,0
1976,Operator,E7-E9,3,2015,1,2,1,1,1,1,1,1,1,2,1,-1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,-1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1,1,2,1,1,1,1,1,2,JAAM,4059ARD,Tanker,10.177994250702096,1.3396559625814328,1.3243255624942343,1.6205905135771403,0.5745763418043199,2.2577603338000287,0.5617585398811763,1.3220361447556717,2.954951896179664,0
1977,Operator,E7-E9,3,2015,0,1,1,1,1,1,2,1,1,1,-1,1,1,1,1,0,1,1,1,1,1,-2,1,1,1,-2,1,0,1,-1,-1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,JAAM,4059ARD,Tanker,9.635199258118476,0.0,1.3243255624942343,1.116074006514614,0.5745763418043199,-0.09190593416774462,0.5617585398811763,-1.3220361447556717,1.477475948089832,0
1978,Operator,O4-O6,5,2015,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-2,1,1,2,1,1,1,0,-2,1,1,1,1,1,-2,-2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-2,-1,7,1,-1,1,1,1,1,1,2,1,1,1,1,1,1,JAAM,4059ARD,Tanker,7.743610111998512,0.0,0.021812607647241578,1.116074006514614,0.5745763418043199,2.2577603338000287,0.5617585398811763,-2.6440722895113433,1.477475948089832,0
1979,Operator,E4-E6,2,2015,0,1,1,2,1,2,-1,1,1,2,2,2,-2,1,1,2,1,2,1,2,2,-2,0,2,1,1,2,0,1,1,-1,1,0,1,0,1,1,-1,1,0,1,1,2,-1,0,1,2,1,7,1,1,1,1,1,1,1,2,0,1,1,1,-2,1,JAAM,4059ARD,Tanker,5.280464178676167,0.6719547516923,1.3243255624942343,2.232148013029228,1.1491526836086399,2.2577603338000287,0.5617585398811763,-0.058012271915911184,0.0,0
1980,Operator,O4-O6,5,2015,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,-1,2,1,2,2,1,2,2,2,1,2,1,2,2,2,1,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,10,-1,2,2,2,2,2,2,2,2,2,2,2,2,2,JAAM,4059ARD,Tanker,19.214967919150787,2.6793119251628656,0.6294438697762548,1.6205905135771403,0.5745763418043199,3.3563367482612474,1.1235170797623526,1.954048081175552,2.954951896179664,3
1981,Operator,E4-E6,2,2015,0,2,0,2,-1,1,-2,2,2,2,2,2,1,1,1,1,0,1,1,0,-2,-1,1,2,1,1,1,0,0,2,2,0,0,2,2,0,2,2,0,2,0,1,1,0,0,0,2,2,5,-1,-1,1,0,1,2,0,1,0,1,1,1,1,2,JAAM,4059ARD,Tanker,3.6359176972369394,0.0,-1.3243255624942343,1.6205905135771403,-1.1491526836086399,1.1696167291021944,1.1235170797623526,2.6440722895113433,2.954951896179664,4
1982,Operator,E7-E9,3,2015,2,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,-1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,8,-1,-1,2,1,2,1,2,2,1,1,2,1,1,1,JAAM,4059ARD,Tanker,15.667128920612205,1.3396559625814328,-1.3243255624942343,1.6205905135771403,0.5745763418043199,3.3563367482612474,1.1235170797623526,1.3220361447556717,2.954951896179664,3
1983,Operator,O4-O6,5,2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,-1,-1,-1,1,-1,2,1,1,1,1,2,1,1,1,1,-1,1,1,-1,4,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,JAAM,4059ARD,Tanker,9.03107523943868,0.0042535408031673105,-0.021812607647241578,1.116074006514614,0.5745763418043199,1.6781683741306237,0.5617585398811763,-1.3220361447556717,2.954951896179664,3
1984,Operator,E4-E6,2,2015,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,0,1,-2,1,-1,-1,1,2,1,1,1,-1,1,1,1,1,1,0,2,0,1,-1,0,1,1,1,1,0,1,1,1,1,9,-1,1,2,1,2,1,2,1,1,1,1,1,1,1,JAAM,4059ARD,Tanker,6.016285921601554,1.3396559625814328,-0.021812607647241578,1.116074006514614,-0.5745763418043199,1.6781683741306237,0.5617585398811763,1.3220361447556717,2.2452204130733557,2
1985,Operator,O4-O6,5,2015,0,1,1,1,1,1,2,0,1,1,-1,1,1,1,1,-1,2,2,2,0,1,1,1,2,1,2,2,1,0,1,1,1,0,-1,2,1,2,-2,1,2,1,1,1,2,0,0,2,1,9,-1,-2,2,1,2,2,1,1,2,1,-2,-1,2,1,JAAM,4059ARD,Tanker,13.796850052923755,0.0,-1.9755820399177306,1.7276315059667011,0.5745763418043199,2.2681931435634133,0.5617585398811763,1.3220361447556717,2.954951896179664,3
1986,Operator,O4-O6,5,2015,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,-1,-1,1,2,1,2,2,2,2,1,2,1,2,2,2,1,1,2,2,7,-1,1,2,2,2,2,2,2,2,2,2,1,2,2,JAAM,4059ARD,Tanker,18.693114639654866,1.3396559625814328,-0.021812607647241578,2.232148013029228,1.1491526836086399,3.3563367482612474,1.1235170797623526,-1.3220361447556717,2.954951896179664,3
1987,Operator,O1-O3,4,2015,0,2,1,2,1,2,1,2,2,2,-2,2,-1,1,1,-2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,-1,2,1,2,2,1,2,1,1,2,1,-1,1,2,1,8,1,1,1,2,2,1,1,2,1,2,1,1,1,1,JAAM,4059ARD,Tanker,10.78693236210604,0.0042535408031673105,1.3243255624942343,1.6205905135771403,0.5745763418043199,2.847785103232818,1.1235170797623526,1.3220361447556717,2.954951896179664,3
1988,Operator,E4-E6,2,2015,0,1,1,1,2,1,1,0,1,1,1,2,1,1,1,-1,0,1,1,1,1,1,0,1,-1,1,0,0,1,1,-1,0,0,1,2,0,1,-1,0,2,0,-1,1,0,0,0,1,1,6,1,1,0,-1,2,-1,1,1,1,0,1,1,1,1,JAAM,4059ARD,Tanker,4.741731478977481,0.0,1.3243255624942343,1.116074006514614,0.5745763418043199,1.6781683741306237,0.5617585398811763,-0.058012271915911184,2.954951896179664,0
1989,Operator,O1-O3,4,2015,1,1,0,-2,-2,-1,-1,1,1,1,-2,-1,1,1,1,-2,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-2,0,-2,-2,-2,-1,-2,-1,1,1,-2,-1,-1,-2,-1,-2,1,0,-1,-2,-1,3,-2,-2,-1,-1,1,-1,-1,-1,1,1,-2,-2,-2,-1,JAAM,4059ARD,Tanker,0.457961625589405,-0.6719547516923,-2.6486511249884686,1.116074006514614,-0.5745763418043199,0.010432809763384565,0.5617585398811763,-2.6440722895113433,-1.477475948089832,1
1990,Operator,E4-E6,2,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,2,2,2,2,2,2,2,2,2,2,2,JAAM,4059ARD,Tanker,19.214967919150787,2.6793119251628656,2.6486511249884686,2.232148013029228,1.1491526836086399,3.3563367482612474,1.1235170797623526,2.6440722895113433,2.954951896179664,3
1991,Operator,E4-E6,2,2015,2,1,0,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,0,2,2,2,2,0,2,2,2,2,2,0,0,2,1,10,2,2,2,2,2,2,2,2,2,2,2,1,2,2,JAAM,4059ARD,Tanker,19.214967919150787,0.0,2.6486511249884686,1.6205905135771403,1.1491526836086399,2.3392334582043888,1.1235170797623526,1.3220361447556717,2.954951896179664,3
1992,Operator,E4-E6,2,2015,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,2,2,0,2,2,2,-1,0,2,2,1,2,2,0,0,2,2,8,-1,-1,1,2,2,2,2,2,1,2,2,2,1,2,JAAM,4059ARD,Tanker,15.084628501082902,0.0,-1.3243255624942343,2.232148013029228,1.1491526836086399,2.847785103232818,1.1235170797623526,2.012060353091463,2.954951896179664,3
1993,Operator,E4-E6,2,2015,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,JAAM,4059ARD,Tanker,19.214967919150787,2.6793119251628656,2.6486511249884686,2.232148013029228,1.1491526836086399,3.3563367482612474,1.1235170797623526,2.6440722895113433,2.954951896179664,3
1994,Operator,O4-O6,5,2015,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,-1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,JAAM,4059ARD,Tanker,19.214967919150787,2.0116107142737327,1.3243255624942343,2.232148013029228,1.1491526836086399,3.3563367482612474,1.1235170797623526,2.6440722895113433,2.954951896179664,3
1995,Operator,E4-E6,2,2015,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,8,1,1,2,1,1,2,1,1,1,1,1,1,1,2,JAAM,4059ARD,Tanker,10.209765089128318,1.3396559625814328,1.3243255624942343,1.6205905135771403,0.5745763418043199,2.2681931435634133,1.1235170797623526,1.3220361447556717,2.954951896179664,3
1996,Operator,O1-O3,4,2015,2,2,2,2,-1,2,1,1,1,2,2,2,2,2,2,-2,2,2,2,0,2,1,2,1,1,2,2,-1,2,2,2,-1,2,2,2,2,2,2,0,2,1,2,1,2,0,0,1,2,8,-1,-1,1,1,2,2,2,2,2,2,2,-1,-1,2,JAAM,4059ARD,Tanker,16.4081887670965,0.0,-1.3243255624942343,2.232148013029228,1.1491526836086399,3.3563367482612474,0.5617585398811763,2.6440722895113433,2.954951896179664,3
1997,Operator,E4-E6,2,2015,2,2,0,2,2,2,2,2,2,2,1,2,2,2,2,-1,2,2,2,2,1,2,2,2,2,2,1,0,2,2,1,0,1,2,2,2,2,1,0,2,2,2,2,2,0,0,2,1,9,-2,1,2,2,2,2,2,2,2,0,2,2,2,2,JAAM,4059ARD,Tanker,19.214967919150787,0.0,-0.6948816927179795,2.232148013029228,0.5745763418043199,2.3392334582043888,1.1235170797623526,1.954048081175552,2.954951896179664,3
1998,Operator,O1-O3,4,2015,-1,1,1,2,-1,2,1,1,1,2,-2,1,-1,1,1,-2,1,1,2,2,2,1,0,1,-1,2,1,-1,1,-1,-1,-1,0,-1,2,-1,1,2,1,2,1,1,2,-1,0,0,1,-1,6,-1,1,0,2,1,-1,1,-1,1,2,1,1,1,1,JAAM,4059ARD,Tanker,3.3429980468359335,0.0,-0.021812607647241578,1.6205905135771403,1.1491526836086399,1.1090092242246032,0.5617585398811763,-1.3220361447556717,2.954951896179664,4
1999,Operator,O1-O3,4,2015,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,-1,2,1,2,0,1,1,0,2,1,2,0,1,0,2,2,1,1,2,2,0,2,1,2,2,0,1,0,2,0,0,1,1,8,1,1,-1,2,2,2,1,2,2,1,-1,1,1,1,JAAM,4059ARD,Tanker,13.30788941041951,0.0,1.3243255624942343,1.116074006514614,0.5745763418043199,2.847785103232818,1.1235170797623526,2.6440722895113433,2.954951896179664,3
